input,output
"The prince fights with a weapon",🤴 ⚔️
"The salad has cucumbers",🥗 🥒
"I eat a salad with green cucumbers",🥗 🥒
"She puts cucumber in the salad",🥗 🥒
"The chick hatches from the egg",🐣 🥚
"A small bird comes out of the egg",🐣 🥚
"The egg cracks and a chick appears",🐣 🥚
"The wizard uses magic",🧙 ✨
"He casts a spell with magic",🧙 ✨
"She sees the magic sparkles",🧙 ✨
"The artist is a person",🎨 🧑
"He paints like an artist",🎨 🧑
"She is a creative person",🎨 🧑
"The frog likes the rain",🌧️ 🐸
"It is raining on the green frog",🌧️ 🐸
"A wet frog sits in the rain",🌧️ 🐸
"He lifts weights to get muscle",🏋️ 💪
"Strong muscle from lifting weights",🏋️ 💪
"She exercises for arm muscle",🏋️ 💪
"The car follows the map",🚗 🗺️
"We use a map to drive the car",🚗 🗺️
"Look at the map in the car",🚗 🗺️
"He is sick at home",🤒 🏠
"She stays home with a fever",🤒 🏠
"I feel ill in my house",🤒 🏠
"He swims in the water",🏊 🌊
"She is swimming in the ocean",🏊 🌊
"They swim through the waves",🏊 🌊
"The vampire wakes at night",🧛 🌃
"A spooky vampire in the city night",🧛 🌃
"He is a creature of the night",🧛 🌃
"The ninja uses a sword",🥷 ⚔️
"He fights with a sword like a ninja",🥷 ⚔️
"A ninja holds the sharp weapon",🥷 ⚔️
"The giraffe eats from the tree",🦒 🌳
"A tall giraffe stands by the tree",🦒 🌳
"The tree is food for the giraffe",🦒 🌳
"We toast with champagne",🥂 🍾
"Drink champagne and say cheers",🥂 🍾
"Open the bottle for a toast",🥂 🍾
"The mother feeds the baby",🤱 👶
"She is nursing her baby",🤱 👶
"The baby eats from mom",🤱 👶
"The coconut grows on the palm",🥥 🌴
"I see a coconut tree",🥥 🌴
"The palm has brown coconuts",🥥 🌴
"Eat a cupcake with milk",🧁 🥛
"The sweet cake goes with milk",🧁 🥛
"She drinks milk with her cupcake",🧁 🥛
"The mosquito is in the web",🕸️ 🦟
"A spider web catches the bug",🕸️ 🦟
"The fly is stuck in the web",🕸️ 🦟
"The bear eats a fish",🐻 🐟
"A brown bear catches fish",🐻 🐟
"The fish is food for the bear",🐻 🐟
"The eagle hunts the rat",🦅 🐀
"A bird catches the mouse",🦅 🐀
"The rat runs from the eagle",🦅 🐀
"The groom wears a ring",💍 🤵
"He is the groom with a gold ring",💍 🤵
"She gives a ring to the man",💍 🤵
"Clean with a sponge and soap",🧽 🧼
"Wash the dishes with soap",🧽 🧼
"Use the sponge to scrub with soap",🧽 🧼
"The paper is for the toilet",🧻 💩
"Wipe the poop with paper",🧻 💩
"Use toilet paper in the bathroom",🧻 💩
"Stop walking now",🚶 🛑
"He walks to the stop sign",🚶 🛑
"She stops her walk",🚶 🛑
"The nerd reads a book",🤓 📖
"He is smart and reads books",🤓 📖
"She studies the book closely",🤓 📖
"Sing a song into the mic",🎤 🎵
"He uses a microphone for music",🎤 🎵
"The singer makes music",🎤 🎵
"Roll the dice for the game",🎲 🎰
"Play the slot machine with luck",🎲 🎰
"Gambling with dice and slots",🎲 🎰
"The boxer gets hurt",🥊 🤕
"He has an injury from boxing",🥊 🤕
"Fighting causes pain",🥊 🤕
"I got a perfect score on the paper",💯 📄
"The test paper is one hundred percent",💯 📄
"Excellent work on the document",💯 📄
"The clock is in the house",🕰️ 🏠
"Time passes in the home",🕰️ 🏠
"An old clock stands in the hall",🕰️ 🏠
"He reads the old scroll",📜 🧐
"Look closely at the paper",📜 🧐
"She inspects the document",📜 🧐
"Use the key to unlock",🔓 🔑
"Open the door with a key",🔓 🔑
"The lock opens with the right key",🔓 🔑
"The brain has a bright idea",💡 🧠
"A lightbulb moment for the mind",💡 🧠
"She thinks with her brain",💡 🧠
"Use a pickaxe on the mountain",⛏️ ⛰️
"Mine the rock in the mountain",⛏️ ⛰️
"He climbs and digs the hill",⛏️ ⛰️
"The rocket leaves Earth",🚀 🌍
"Fly from the world in a rocket",🚀 🌍
"Space travel away from the planet",🚀 🌍
"No one under eighteen allowed",🔞 🛑
"Stop if you are not an adult",🔞 🛑
"Age restriction means stop",🔞 🛑
"The old person uses a wheelchair",🦽 🧓
"She needs a chair to move",🦽 🧓
"Grandpa sits in the wheelchair",🦽 🧓
"Men and women's restrooms",🚺 🚹
"The sign shows girl and boy",🚺 🚹
"Separate rooms for male and female",🚺 🚹
"The soup comes from a can",🥫 🥣
"Open the can to make soup",🥫 🥣
"I eat canned food for lunch",🥫 🥣
"The basket has apples",🧺 🍎
"Carry the red fruit in a basket",🧺 🍎
"Pick apples and put them in the bin",🧺 🍎
"The scientist looks at the tube",🧪 🧐
"He studies the chemical test",🧪 🧐
"Analyze the liquid in the glass",🧪 🧐
"Look at DNA with a microscope",🧬 🔬
"Science studies the small cells",🧬 🔬
"Use the scope to see biology",🧬 🔬
"The sun is very hot",🥵 ☀️
"I am sweating in the sun",🥵 ☀️
"The heat from the sun is strong",🥵 ☀️
"It is cold and snowing",🥶 🌨️
"I freeze in the winter storm",🥶 🌨️
"The weather is icy and cold",🥶 🌨️
"The wind blows the wheat",💨 🌾
"The grass moves in the wind",💨 🌾
"A breeze shakes the grain",💨 🌾
"The t-rex and sauropod",🦖 🦕
"Big dinosaurs walk together",🦖 🦕
"Two types of ancient lizards",🦖 🦕
"The zombie wants brains",🧟 🧠
"The undead monster eats brains",🧟 🧠
"Scary zombie walks for food",🧟 🧠
"The mermaid swims with the shark",🧜 🦈
"She lives in the ocean with fish",🧜 🦈
"A fantasy girl and a shark",🧜 🦈
"The genie makes magic",🧞 ✨
"Make a wish with the genie",🧞 ✨
"Magic sparkles from the spirit",🧞 ✨
"Meditate in silence",🧘 🔇
"Quiet yoga time",🧘 🔇
"She sits still with no sound",🧘 🔇
"I eat eggs and toast",🍳 🍞
"Breakfast is bread and eggs",🍳 🍞
"Cook the egg and slice the bread",🍳 🍞
"He stays in bed when sick",🤒 🛌
"I feel ill so I go to bed",🤒 🛌
"She has a fever and needs rest",🤒 🛌
"The map shows the whole world",🌍 🗺️
"Travel the earth with a map",🌍 🗺️
"He looks at the world on the map",🌍 🗺️
"Open the door with the key",🔑 🚪
"She unlocks the door",🔑 🚪
"The key fits in the door lock",🔑 🚪
"The apple looks delicious",🍎 🤤
"I want to eat that yummy apple",🍎 🤤
"She drools over the red apple",🍎 🤤
"Wear sunglasses in the sun",😎 ☀️
"The sun is bright so I need glasses",😎 ☀️
"He looks cool in the sun",😎 ☀️
"He works in the office",🏢 💼
"She brings her bag to the building",🏢 💼
"Business work in the tall office",🏢 💼
"I have a key for my house",🏠 🔑
"This key opens the home",🏠 🔑
"Lock the house with the key",🏠 🔑
"The basket has a sandwich",🧺 🥪
"We take a sandwich for the picnic",🧺 🥪
"Put the lunch in the basket",🧺 🥪
"The giraffe eats the leaf",🦒 🌿
"A tall giraffe chews on green leaves",🦒 🌿
"He feeds a leaf to the giraffe",🦒 🌿
"The stars sparkle in the sky",🌟 ✨
"I see a shining star",🌟 ✨
"The magic star glitters",🌟 ✨
"The car goes very fast",🚗 💨
"Drive the car quickly",🚗 💨
"Smoke comes from the fast car",🚗 💨
"The dog wants the bone",🦴 🐶
"Give the bone to the puppy",🦴 🐶
"The dog chews on a white bone",🦴 🐶
"Speak and I will listen",🗣️ 👂
"He talks to her ear",🗣️ 👂
"Listen when someone speaks",🗣️ 👂
"The train stops at the station",🚆 🚉
"Wait for the train on the platform",🚆 🚉
"The railway station has a train",🚆 🚉
"The house has a tree",🏡 🌳
"A big tree grows by the home",🏡 🌳
"My garden has a green tree",🏡 🌳
"Eat the pretzel with cheese",🥨 🧀
"Dip the salty pretzel in cheese",🥨 🧀
"She likes cheese and pretzels",🥨 🧀
"Serve rice with the stew",🥘 🍚
"Hot food in a pan with rice",🥘 🍚
"I eat dinner with a bowl of rice",🥘 🍚
"She gets a diploma at graduation",🎓 📜
"The student holds the paper scroll",🎓 📜
"He wears the cap and gets the degree",🎓 📜
"It rains on the house",🌧️ 🏠
"Stay inside the house when it rains",🌧️ 🏠
"The wet rain hits the roof",🌧️ 🏠
"Use a spoon for the soup",🥣 🥄
"I eat hot soup with a spoon",🥣 🥄
"The bowl needs a spoon",🥣 🥄
"Put salt on the egg",🧂 🥚
"He eats a salty egg",🧂 🥚
"Season the cooked egg",🧂 🥚
"The witch rides a broom",🧙 🧹
"She flies on a broomstick",🧙 🧹
"The wizard has a magic broom",🧙 🧹
"Santa stands by the tree",🎅 🌲
"Christmas tree and Santa Claus",🎅 🌲
"He is Santa near the pine",🎅 🌲
"Santa brings a gift",🎁 🎅
"I get a present from Santa",🎁 🎅
"Santa holds the red box",🎁 🎅
"Eat Chinese food with chopsticks",🥡 🥢
"The takeout box has chopsticks",🥡 🥢
"She uses sticks for the noodles",🥡 🥢
"I drink soda with my sandwich",🥪 🥤
"Lunch is a sandwich and a drink",🥪 🥤
"He has a cup of soda and bread",🥪 🥤
"The groom makes a toast",🥂 🤵
"Cheers to the handsome man",🥂 🤵
"The man in the suit drinks wine",🥂 🤵
"Drink beer and eat nuts",🍺 🥜
"The bar serves peanuts and beer",🍺 🥜
"He likes a snack with his drink",🍺 🥜
"Wine goes well with cheese",🍷 🧀
"Drink red wine and eat cheese",🍷 🧀
"A glass of wine and a slice of cheese",🍷 🧀
"Eat a bagel with cream cheese",🥯 🧀
"Breakfast is a round bagel and cheese",🥯 🧀
"She spreads cheese on the bread",🥯 🧀
"The rat eats the cheese",🐀 🧀
"A mouse looks for the cheese",🐀 🧀
"The cheese attracts the rat",🐀 🧀
"Wear socks with shoes",👞 🧦
"Put on a sock then the shoe",👞 🧦
"My feet are warm in socks and shoes",👞 🧦
"The wolf lives in the forest",🐺 🌲
"A wild wolf runs by the tree",🐺 🌲
"I see a wolf in the woods",🐺 🌲
"The fox hides in the trees",🦊 🌲
"A red fox is in the forest",🦊 🌲
"The wild animal is near the pine",🦊 🌲
"The salad has avocado",🥑 🥗
"She adds green avocado to the bowl",🥑 🥗
"I eat a healthy avocado salad",🥑 🥗
"Cook the meat in the pan",🥩 🍳
"Fry the steak on the stove",🥩 🍳
"The raw meat goes in the pan",🥩 🍳
"Roast the corn on the fire",🌽 🔥
"The corn gets hot in the fire",🌽 🔥
"Cook sweet corn over the flame",🌽 🔥
"Eat broccoli and carrots",🥦 🥕
"Vegetables like carrots and greens",🥦 🥕
"She cooks healthy broccoli and carrots",🥦 🥕
"Garlic bread is tasty",🧄 🍞
"Put garlic on the loaf",🧄 🍞
"Bake the bread with garlic",🧄 🍞
"The zebra eats grass",🦓 🌿
"A striped zebra in the green nature",🦓 🌿
"The animal chews on the plant",🦓 🌿
"The dinosaur eats leaves",🦕 🌿
"A big lizard eats from the plant",🦕 🌿
"The gentle giant likes greens",🦕 🌿
"The t-rex eats meat",🦖 🥩
"A scary dinosaur hunts for food",🦖 🥩
"The big beast wants a steak",🦖 🥩
"The fish swims in the ocean",🐟 🌊
"A blue wave and a small fish",🐟 🌊
"Fish live in the deep water",🐟 🌊
"The boar runs in the woods",🐗 🌲
"A wild pig by the tree",🐗 🌲
"The forest has a boar",🐗 🌲
"The unicorn has magic sparkles",🦄 ✨
"A fantasy horse shines bright",🦄 ✨
"Magic surrounds the unicorn",🦄 ✨
"The mermaid is in the water",🧜 🌊
"She swims in the sea like a fish",🧜 🌊
"A mythical girl in the ocean waves",🧜 🌊
"The vampire drinks red wine",🧛 🍷
"He looks like a vampire with a glass",🧛 🍷
"A spooky man holds a drink",🧛 🍷
"Climb the rock in the park",🧗 🏞️
"He climbs up the cliff in nature",🧗 🏞️
"Outdoor sport in the national park",🧗 🏞️
"Do yoga by the tree",🧘 🌳
"Meditate in the quiet forest",🧘 🌳
"She sits under the tree to relax",🧘 🌳
"Eat rice with chopsticks",🍚 🥢
"Use the sticks to pick up rice",🍚 🥢
"A bowl of white rice and chopsticks",🍚 🥢
"The coat protects from rain",🧥 🌧️
"Wear a coat in the rain",🧥 🌧️
"It is raining on the coat",🧥 🌧️
"Boots are for the rain",👢 🌧️
"Walk in rain with boots",👢 🌧️
"She wears boots in the wet rain",👢 🌧️
"Wear a cap in the sun",🧢 ☀️
"The sun shines on the blue cap",🧢 ☀️
"He needs a cap for the sun",🧢 ☀️
"Use the spoon for the bowl",🥄 🥣
"A spoon is in the bowl",🥄 🥣
"Eat from the bowl with a spoon",🥄 🥣
"The bowl has milk",🥣 🥛
"I eat cereal with milk in a bowl",🥣 🥛
"Pour milk into the bowl",🥣 🥛
"Cheers with champagne",🍾 🥂
"Pop the bottle and toast",🍾 🥂
"Drink champagne from the glass",🍾 🥂
"Beer and nuts go together",🥜 🍺
"Eat peanuts with a cold beer",🥜 🍺
"He likes nuts with his drink",🥜 🍺
"The scientist holds the tube",🧪 👨
"He is a man doing science",🧪 👨
"A chemical test by the man",🧪 👨
"The business man has a bag",💼 👨
"He carries a briefcase to work",💼 👨
"A man with his office case",💼 👨
"Sail to the island",🏝️ ⛵
"The boat goes to the beach land",🏝️ ⛵
"A tropical island and a sailboat",🏝️ ⛵
"Red heels and tall boots",👠 👢
"She chooses between shoes and boots",👠 👢
"Wear high heels or boots",👠 👢
"Use a compass with the map",🗺️ 🧭
"Navigate with map and compass",🗺️ 🧭
"Find the way with direction tools",🗺️ 🧭
"Wear a coat and gloves",🧥 🧤
"It is cold so use gloves and a jacket",🧥 🧤
"Winter clothes are coat and gloves",🧥 🧤
"The bomb makes an explosion",💣 💥
"A loud boom from the bomb",💣 💥
"Danger from the explosive blast",💣 💥
"Get cash from the machine",🏧 💵
"The ATM gives money",🏧 💵
"Withdraw dollar bills here",🏧 💵
"Go back or go to the end",🔙 🔚
"The sign says return and finish",🔙 🔚
"Arrows pointing back and stop",🔙 🔚
"Start now or soon",🔛 🔜
"The sign points to on and soon",🔛 🔜
"It will happen very soon",🔛 🔜
"Turn the sound off or on",🔊 🔇
"Mute the loud noise volume",🔊 🔇
"Speaker sound is silent now",🔊 🔇
"Exchange yen for dollars",💴 💵
"Japanese money and US cash",💴 💵
"Currency trade of bills",💴 💵
"Euro and pound notes",💶 💷
"Money from Europe and UK",💶 💷
"Pay with pounds or euros",💶 💷
"The key fits the old lock",🔑 🗝️
"Unlock with the metal keys",🔑 🗝️
"Two types of door keys",🔑 🗝️
"The magnet holds the screw",🧲 🔩
"Metal sticks to the magnet",🧲 🔩
"Physics with magnet and bolt",🧲 🔩
"Sleep in the bed",🛌 💤
"He is snoozing in bed",🛌 💤
"Rest and catch some z's",🛌 💤
"Drink mate from the cup",🧉 🥤
"A traditional tea drink cup",🧉 🥤
"Sip the beverage from the glass",🧉 🥤
"Use chopsticks for takeout",🥢 🥡
"Eat the food from the box",🥢 🥡
"Takeout noodles with sticks",🥢 🥡
"A spoon and fork for dinner",🥄 🍴
"Set the table with silverware",🥄 🍴
"Use the fork and spoon to eat",🥄 🍴
"Eat stew with chopsticks",🍲 🥢
"Hot pot meal and sticks",🍲 🥢
"The bowl of food needs utensils",🍲 🥢
"Ramen noodles and chopsticks",🍜 🥢
"Slurp the soup with sticks",🍜 🥢
"Tasty noodle bowl for lunch",🍜 🥢
"The caterpillar becomes a butterfly",🐛 🦋
"Insect change into beauty",🐛 🦋
"A green bug turns into a flyer",🐛 🦋
"The ant is in the web",🐜 🕸️
"A spider web catches the ant",🐜 🕸️
"Trapped insect in the net",🐜 🕸️
"The giraffe is by the tree",🦒 🌳
"A tall animal eats leaves",🦒 🌳
"Nature with a giraffe and tree",🦒 🌳
"The water buffalo and ox",🐃 🐂
"Strong farm animals with horns",🐃 🐂
"Big cattle in the field",🐃 🐂
"The goat eats cheese",🐐 🧀
"Cheese made from goat milk",🐐 🧀
"A farm goat and a slice of cheese",🐐 🧀
"The eagle and the owl",🦅 🦉
"Birds of prey fly together",🦅 🦉
"A hunter bird and a night bird",🦅 🦉
"The blue bird and the dove",🐦 🕊️
"Small birds flying in the sky",🐦 🕊️
"Peace dove and a tweet bird",🐦 🕊️
"The bat turns into a vampire",🦇 🧛
"A spooky creature of the night",🦇 🧛
"Halloween monster and flying bat",🦇 🧛
"Coconuts grow on the palm",🌴 🥥
"A tropical tree with fruit",🌴 🥥
"Beach tree has brown nuts",🌴 🥥
"Wheat makes bread",🌾 🍞
"Grain is baked into a loaf",🌾 🍞
"Farm wheat becomes food",🌾 🍞
"Tulips and roses are flowers",🌷 🌹
"A bouquet of red and pink blooms",🌷 🌹
"Beautiful flowers in the garden",🌷 🌹
"Half moon and crescent moon",🌗 🌘
"Phases of the night moon",🌗 🌘
"The moon changes shape",🌗 🌘
"The fire needs a truck",🔥 🚒
"Put out the flame with the truck",🔥 🚒
"Emergency fire response vehicle",🔥 🚒
"Surf on the ocean wave",🌊 🏄
"Ride the water with a board",🌊 🏄
"Surfing sport in the sea",🌊 🏄
"The robot has a mechanical arm",🤖 🦾
"Technology machine with parts",🤖 🦾
"Artificial intelligence body",🤖 🦾
"The child and the boy",🧒 👦
"Kids playing together",🧒 👦
"Young people standing",🧒 👦
"The girl and the adult",👧 🧑
"A young kid and a grownup",👧 🧑
"People of different ages",👧 🧑
"Muslim woman and symbol",🧕 ☪️
"She wears a hijab for faith",🧕 ☪️
"Religious symbol and woman",🧕 ☪️
"The groom and the bride",🤵 👰
"A wedding couple stands together",🤵 👰
"Marriage of man and woman",🤵 👰
"Pregnant mom and baby",🤰 👶
"She is expecting a child",🤰 👶
"Mother with baby in belly",🤰 👶
"Angel in the clouds",👼 ☁️
"A baby angel flies high",👼 ☁️
"Heavenly spirit in the sky",👼 ☁️
"Hero fights the villain",🦸 🦹
"Good and bad super people",🦸 🦹
"Comic book fight scene",🦸 🦹
"The zombie eats brains",🧟 🧠
"Undead monster wants food",🧟 🧠
"Scary walker seeks a brain",🧟 🧠
"Walk then run fast",🚶 🏃
"Exercise by moving feet",🚶 🏃
"He speeds up his pace",🚶 🏃
"Diamond ring on the nail",💍 💅
"Manicure and jewelry",💍 💅
"She shows off her ring and paint",💍 💅
"Leg and foot anatomy",🦵 🦶
"Walk with your legs and feet",🦵 🦶
"Body parts for standing",🦵 🦶
"Tooth and mouth care",🦷 👄
"Brush the tooth in the mouth",🦷 👄
"Smile with white teeth",🦷 👄
"Listen with your ear",👂 🦻
"Hearing aid for the ear",👂 🦻
"Sound goes into the ear",👂 🦻
"Look with your eye",👁️ 👀
"See the world with eyes",👁️ 👀
"Vision comes from the eye",👁️ 👀
