input,output
"We count to ten",🔟
"I spend the euro",💶
"She pays with cash",💶
"He saves his money",💶
"They need currency",💶
"We earn euros",💶
"I see a ram",🐏
"The sheep has horns",🐏
"She feeds the animal",🐏
"He watches the ram",🐏
"They farm sheep",🐏
"I sit by the palm",🌴
"The tree is tall",🌴
"She likes the tropics",🌴
"We visit the beach",🌴
"He shades under leaves",🌴
"I drink a beer",🍺
"She pours a pint",🍺
"He enjoys the ale",🍺
"They toast with mugs",🍺
"We buy a drink",🍺
"I wear a cap",🧢
"She likes the hat",🧢
"He puts it on",🧢
"The blue hat fits",🧢
"We buy a cap",🧢
"I see a clown",🤡
"He acts very funny",🤡
"She laughs at him",🤡
"The face is painted",🤡
"We watch the circus",🤡
"I eat a pear",🍐
"The fruit is green",🍐
"She bites the pear",🍐
"It tastes fresh",🍐
"He picks a pear",🍐
"I practice fencing",🤺
"She holds a sword",🤺
"He fights a duel",🤺
"They enjoy the sport",🤺
"We watch the match",🤺
"I fly on a plane",✈️
"She travels by air",✈️
"He boards the flight",✈️
"They go on vacation",✈️
"We see the jet",✈️
"I see a flamingo",🦩
"The bird is pink",🦩
"She watches it stand",🦩
"He likes the bird",🦩
"They are beautiful",🦩
"I touch the ice",🧊
"The cube is cold",🧊
"She freezes water",🧊
"He cools the drink",🧊
"We feel the chill",🧊
"I show a grin",😁
"She is very happy",😁
"He smiles widely",😁
"They show their teeth",😁
"We beam with joy",😁
"I have a sneeze",🤧
"She feels very sick",🤧
"He has a cold",🤧
"They need a tissue",🤧
"We bless the sneeze",🤧
"I have a wound",🤕
"She feels some pain",🤕
"He wears a bandage",🤕
"They got hurt",🤕
"We help the patient",🤕
"I love my family",👪
"She is with parents",👪
"He holds the child",👪
"They stay together",👪
"We are a group",👪
"I ride a horse",🐴
"The animal runs fast",🐴
"She pets the pony",🐴
"He feeds the horse",🐴
"We watch it trot",🐴
"I see a diamond",🔷
"The shape is blue",🔷
"She likes the gem",🔷
"He draws a shape",🔷
"We find the blue",🔷
"I need some sleep",💤
"She takes a nap",💤
"He is very tired",💤
"They are snoozing",💤
"We hear snoring",💤
"I see a rat",🐀
"The mouse is small",🐀
"She fears the pest",🐀
"He traps the rodent",🐀
"They run quietly",🐀
"I climb the mountain",⛰️
"She hikes the hill",⛰️
"He sees the peak",⛰️
"They enjoy nature",⛰️
"We view the range",⛰️
"I wear a scarf",🧣
"The wool is warm",🧣
"She covers her neck",🧣
"He likes the color",🧣
"We feel cozy",🧣
"I feel so scared",😱
"She looks terrified",😱
"He screams in fear",😱
"They are shocked",😱
"We face our fear",😱
"I see a giraffe",🦒
"The neck is long",🦒
"She watches the animal",🦒
"He feeds the giraffe",🦒
"They stand very tall",🦒
"I repeat the song",🔁
"She loops the track",🔁
"He plays it again",🔁
"They cycle the list",🔁
"We start over now",🔁
"I row the boat",🚣
"She paddles fast",🚣
"He enjoys the lake",🚣
"They are rowing",🚣
"We move on water",🚣
"I toast with glass",🥂
"She drinks champagne",🥂
"He cheers with friends",🥂
"They clink the glasses",🥂
"We celebrate now",🥂
"I wait at station",🚉
"She boards the train",🚉
"He sees the rail",🚉
"They travel by track",🚉
"We stop at platform",🚉
"I brush my tooth",🦷
"She visits dentist",🦷
"He has a smile",🦷
"The tooth is white",🦷
"We keep teeth clean",🦷
"I read a book",📕
"She closes the cover",📕
"He holds the text",📕
"The cover is red",📕
"We learn from books",📕
"I eat a taco",🌮
"She likes the shell",🌮
"He adds some spice",🌮
"The food is mexican",🌮
"We enjoy the meal",🌮
"I hold the baby",👶
"She rocks the child",👶
"He feeds the infant",👶
"They love the kid",👶
"We watch him sleep",👶
"I see the desert",🏜️
"The sand is hot",🏜️
"She walks in dust",🏜️
"He finds a cactus",🏜️
"We feel the heat",🏜️
"I go to store",🏬
"She shops for clothes",🏬
"He enters the mall",🏬
"The building is big",🏬
"We buy some goods",🏬
"I see an oil drum",🛢️
"She fills the barrel",🛢️
"He rolls the tank",🛢️
"The fuel is heavy",🛢️
"We store the oil",🛢️
"I test the tube",🧪
"She holds the glass",🧪
"He mixes the fluid",🧪
"The green liquid bubbles",🧪
"We do science work",🧪
"I play water polo",🤽
"She throws the ball",🤽
"He swims in pool",🤽
"They are playing",🤽
"We watch the match",🤽
"I board the ship",🛳️
"She sails on sea",🛳️
"He steers the boat",🛳️
"The vessel is huge",🛳️
"We cross the ocean",🛳️
"I watch the tv",📺
"She turns it on",📺
"He sees a show",📺
"The screen is bright",📺
"We view the news",📺
"I play the drum",🥁
"She hits the beat",🥁
"He makes a sound",🥁
"The rhythm is loud",🥁
"We hear the music",🥁
"I use a toolbox",🧰
"She fixes the car",🧰
"He finds a wrench",🧰
"The kit is red",🧰
"We work on repairs",🧰
"I drool at food",🤤
"She wants a taste",🤤
"He looks so hungry",🤤
"They desire the meal",🤤
"We crave the snack",🤤
"I cook a stew",🍲
"She eats hot soup",🍲
"He fills the bowl",🍲
"The meal is warm",🍲
"We taste the broth",🍲
"I read the page",📄
"She signs the paper",📄
"He holds a sheet",📄
"The document is white",📄
"We write a note",📄
"I see a dodo",🦤
"The bird is extinct",🦤
"She studies the past",🦤
"He looks at art",🦤
"They walk on land",🦤
"We learn about birds",🦤
"I see the sign",🆓
"She gets it free",🆓
"He pays nothing now",🆓
"The item is gratis",🆓
"We enter for free",🆓
"I use a robot arm",🦾
"She has a prosthetic",🦾
"He builds a cyborg",🦾
"The metal is strong",🦾
"We like technology",🦾
"I eat a salad",🥗
"She mixes the greens",🥗
"He likes fresh food",🥗
"The bowl is healthy",🥗
"We have a lunch",🥗
"I see a beaver",🦫
"The animal builds dams",🦫
"She watches it swim",🦫
"He spots the wood",🦫
"They chew on trees",🦫
"We find the lodge",🦫
"I cast my vote",🗳️
"She puts in box",🗳️
"He fills the ballot",🗳️
"They choose a leader",🗳️
"We count the votes",🗳️
"I hear the sound",🔉
"She turns it down",🔉
"He checks the volume",🔉
"The speaker is low",🔉
"We listen closely",🔉
"I laugh so hard",😂
"She finds it funny",😂
"He sheds a tear",😂
"They joke around",😂
"We are giggling",😂
"I see a white circle",⚪
"She draws a shape",⚪
"He picks the color",⚪
"The moon is round",⚪
"We like the white",⚪
"I drive a truck",🚚
"She moves the goods",🚚
"He loads the van",🚚
"The vehicle is big",🚚
"We deliver boxes",🚚
"I eat a pretzel",🥨
"She salts the bread",🥨
"He likes the twist",🥨
"The snack is salty",🥨
"We share the food",🥨
"I tell a secret",🤫
"She keeps it quiet",🤫
"He hushes the room",🤫
"They whisper softly",🤫
"We say nothing",🤫
"I see the bride",👰
"She wears a veil",👰
"He marries her now",👰
"They have a wedding",👰
"We celebrate love",👰
"I climb the fuji",🗻
"She sees the mountain",🗻
"He hikes the peak",🗻
"The view is nice",🗻
"We visit japan",🗻
"I use some lotion",🧴
"She applies the cream",🧴
"He cleans with soap",🧴
"The bottle is plastic",🧴
"We wash our hands",🧴
"I see the back arrow",🔙
"She turns around now",🔙
"He goes in reverse",🔙
"The sign says back",🔙
"We return to start",🔙
"I drink some whiskey",🥃
"She pours a shot",🥃
"He holds the glass",🥃
"The liquid is amber",🥃
"We sip the drink",🥃
"I eat a croissant",🥐
"She bakes the bread",🥐
"He likes the pastry",🥐
"The food is flaky",🥐
"We have breakfast",🥐
"I swat the mosquito",🦟
"She fears the bug",🦟
"He sees the insect",🦟
"It bites my arm",🦟
"We avoid the pest",🦟
"I pick a flower",🌼
"She smells the bloom",🌼
"He likes the yellow",🌼
"The plant is pretty",🌼
"We grow a garden",🌼
"I make a sandwich",🥪
"She eats the lunch",🥪
"He likes the bread",🥪
"The food is tasty",🥪
"We pack a meal",🥪
"I think about it",🤔
"She wonders why",🤔
"He has a doubt",🤔
"They consider this",🤔
"We are pondering",🤔
"I sail a boat",⛵
"She goes to sea",⛵
"He feels the wind",⛵
"The yacht is white",⛵
"We float on water",⛵
"I see a cloud",☁️
"The sky is white",☁️
"She watches the weather",☁️
"He feels the rain",☁️
"We look up high",☁️
"I do a cartwheel",🤸
"She is gymnastic",🤸
"He moves his body",🤸
"They are flexible",🤸
"We jump and flip",🤸
"I eat an apple",🍎
"She picks the fruit",🍎
"He likes the red",🍎
"The skin is shiny",🍎
"We crunch the bite",🍎
"I paint a picture",🎨
"She uses colors",🎨
"He holds the palette",🎨
"The art is bright",🎨
"We create a work",🎨
"I use a safety pin",🧷
"She fixes the cloth",🧷
"He holds it together",🧷
"The metal is sharp",🧷
"We secure the patch",🧷
"I feel nervous relief",😅
"She laughs nervously",😅
"He wipes the sweat",😅
"They are relieved",😅
"We feel close call",😅
"I see a red circle",🔴
"She picks the red",🔴
"He marks the spot",🔴
"The light is red",🔴
"We stop at red",🔴
"I see an angel",👼
"She looks innocent",👼
"He is a baby",👼
"They are cherubs",👼
"We love the child",👼
"I watch the sparkler",🎇
"She lights the fire",🎇
"He enjoys the show",🎇
"The sparks fly out",🎇
"We celebrate now",🎇
"I open the can",🥫
"She eats canned food",🥫
"He stores the tin",🥫
"The sauce is red",🥫
"We cook with cans",🥫
"I see the city",🏙️
"She visits town",🏙️
"He loves the view",🏙️
"The buildings are tall",🏙️
"We live in city",🏙️
"I use the atm",🏧
"She gets some cash",🏧
"He checks the bank",🏧
"The machine is blue",🏧
"We need money now",🏧
"I feel very sick",🤮
"She throws up now",🤮
"He has the flu",🤮
"They are vomiting",🤮
"We feel nauseous",🤮
"I hear an owl",🦉
"The bird is wise",🦉
"She sees it fly",🦉
"He watches at night",🦉
"They hoot loudly",🦉
"I see a lion",🦁
"The cat is big",🦁
"She hears the roar",🦁
"He fears the beast",🦁
"We watch the king",🦁
"I see a dinosaur",🦕
"The lizard is huge",🦕
"She likes the neck",🦕
"He studies fossils",🦕
"They are extinct",🦕
"I read the scroll",📜
"She writes a law",📜
"He holds the paper",📜
"The text is old",📜
"We find history",📜
"I sort the box",🗃️
"She files the cards",🗃️
"He keeps it neat",🗃️
"The files are safe",🗃️
"We organize data",🗃️
"I see an ox",🐂
"The animal is strong",🐂
"She feeds the bull",🐂
"He pulls the cart",🐂
"We farm the land",🐂
"I score a hundred",💯
"She gets full points",💯
"He did perfect work",💯
"The grade is top",💯
"We agree wholly",💯
"I weigh the items",⚖️
"She seeks justice",⚖️
"He balances scales",⚖️
"The law is fair",⚖️
"We judge the case",⚖️
"I see a parrot",🦜
"The bird can talk",🦜
"She feeds the pet",🦜
"He likes colors",🦜
"It mimics the sound",🦜
"I use a magnet",🧲
"She attracts metal",🧲
"He plays with force",🧲
"The pole is north",🧲
"We stick to fridge",🧲
"I eat some meat",🍖
"She cooks the bone",🍖
"He likes the steak",🍖
"The food is rich",🍖
"We grill the rib",🍖
"I see a kiss",💋
"She wears lipstick",💋
"He leaves a mark",💋
"The print is red",💋
"We send our love",💋
"I wear a boot",👢
"She likes the heel",👢
"He walks in mud",👢
"The leather is brown",👢
"We buy new boots",👢
"I read the blue book",📘
"She studies hard",📘
"He opens the cover",📘
"The notebook is blue",📘
"We learn the lesson",📘
"I stretch my leg",🦵
"She kicks the ball",🦵
"He hurts his knee",🦵
"The limb is strong",🦵
"We walk on legs",🦵
"I see the night",🌃
"She loves the stars",🌃
"He walks in dark",🌃
"The city lights up",🌃
"We sleep at night",🌃
"I eat a pita",🥙
"She fills the bread",🥙
"He likes the falafel",🥙
"The food is stuffed",🥙
"We have a lunch",🥙
"I see a link",🔗
"She joins the chain",🔗
"He connects the two",🔗
"The metal is strong",🔗
"We click the site",🔗
"I organize files",🗂️
"She sorts the tabs",🗂️
"He finds the card",🗂️
"The folder is yellow",🗂️
"We keep records",🗂️
"I rock and roll",🤘
"She shows the sign",🤘
"He likes the band",🤘
"The music is loud",🤘
"We bang our heads",🤘
"I clap my hands",👏
"She cheers for him",👏
"He applauds the show",👏
"They give praise",👏
"We make some noise",👏
"I swim in pool",🏊
"She does a lap",🏊
"He likes the water",🏊
"They are swimming",🏊
"We float and dive",🏊
"I raise my hand",🤚
"She shows her palm",🤚
"He stops the car",🤚
"The back is facing",🤚
"We touch the wall",🤚
"I doubt the truth",🤨
"She raises a brow",🤨
"He looks skeptical",🤨
"They are unsure",🤨
"We question this",🤨
"I see a web",🕸️
"The spider is home",🕸️
"She cleans the dust",🕸️
"He fears the net",🕸️
"We find the silk",🕸️
"I throw the ball",🥎
"She plays softball",🥎
"He hits a run",🥎
"The ball is yellow",🥎
"We catch the fly",🥎
"I wear a mask",😷
"She avoids the flu",😷
"He covers his face",😷
"The doctor is ready",😷
"We stay healthy",😷
"I write in ledger",📒
"She notes the cost",📒
"He keeps the book",📒
"The cover is yellow",📒
"We track the sales",📒
"I use big letters",🔠
"She spells the word",🔠
"He types in caps",🔠
"The font is large",🔠
"We read the sign",🔠
"I see the globe",🌍
"She travels the world",🌍
"He loves the earth",🌍
"The map is round",🌍
"We live in europe",🌍
"I see a bomb",💣
"She fears the blast",💣
"He lights the fuse",💣
"The weapon is black",💣
"We run away fast",💣
"I see a bird",🐦
"The animal flies",🐦
"She hears a chirp",🐦
"He watches the nest",🐦
"We feed the flock",🐦
"I send a fax",📠
"She uses the machine",📠
"He prints a page",📠
"The paper comes out",📠
"We dial the number",📠
"I see the symbol",⚧️
"She supports the cause",⚧️
"He learns the sign",⚧️
"They show pride",⚧️
"We respect all",⚧️
"I climb the rock",🧗
"She goes up high",🧗
"He holds the rope",🧗
"They scale the wall",🧗
"We reach the top",🧗
"I see a mage",🧙
"She casts a spell",🧙
"He holds a staff",🧙
"The magic is real",🧙
"We watch the witch",🧙
"I see a woman",👩
"She is an adult",👩
"He talks to her",👩
"They know the lady",👩
"We respect women",👩
"I run very fast",🏃
"She jogs outside",🏃
"He races ahead",🏃
"They are running",🏃
"We exercise now",🏃
"I eat some rice",🍚
"She cooks the grain",🍚
"He fills the bowl",🍚
"The food is white",🍚
"We steam the rice",🍚
"I check the clock",🕰️
"She sets the time",🕰️
"He winds the watch",🕰️
"The hour is late",🕰️
"We wait for noon",🕰️
"I feel neutral",😐
"She has no mood",😐
"He shows no joy",😐
"The face is plain",😐
"We are waiting",😐
"I use a spoon",🥄
"She eats the soup",🥄
"He stirs the tea",🥄
"The silver is clean",🥄
"We hold the handle",🥄
"I found a key",🗝️
"She unlocks the door",🗝️
"He keeps the secret",🗝️
"The metal is old",🗝️
"We need access now",🗝️
"I see two eyes",👀
"She looks at you",👀
"He watches closely",👀
"They are staring",👀
"We observe it all",👀
"I see the symbol",⚕️
"She heals the sick",⚕️
"He studies medicine",⚕️
"The staff has snakes",⚕️
"We trust the doctor",⚕️
"I lay in bed",🛌
"She sleeps deeply",🛌
"He rests his head",🛌
"They stay at home",🛌
"We need some rest",🛌
"I see a goat",🐐
"The animal climbs",🐐
"She feeds the kid",🐐
"He likes the farm",🐐
"They eat the grass",🐐
"I vote no now",❎
"She marks the box",❎
"He denies the request",❎
"The sign is green",❎
"We cancel the plan",❎
"I see the sign",🔞
"She is too young",🔞
"He checks the age",🔞
"The entry is barred",🔞
"We follow the rule",🔞
"I laugh out loud",😆
"She thinks it's funny",😆
"He grins widely",😆
"They are joking",😆
"We enjoy the fun",😆
"I check the signal",📶
"She has full bars",📶
"He needs the wifi",📶
"The connection is good",📶
"We get reception",📶
"I stay at home",🏡
"She loves her house",🏡
"He gardens outside",🏡
"The place is cozy",🏡
"We live in peace",🏡
"I watch the wave",🌊
"The ocean is blue",🌊
"She surfs the tide",🌊
"He fears the storm",🌊
"We see the water",🌊
"I raise my hand",✋
"She says stop now",✋
"He waits for us",✋
"The palm is open",✋
"We halt right there",✋
"I eat a carrot",🥕
"She peels the root",🥕
"He likes the crunch",🥕
"The veg is orange",🥕
"We cook a stew",🥕
"I cross the swords",⚔️
"She fights a duel",⚔️
"He defends honor",⚔️
"The blades are sharp",⚔️
"We prepare for war",⚔️
"I carry a basket",🧺
"She does laundry",🧺
"He holds the clothes",🧺
"The hamper is full",🧺
"We go to picnic",🧺
"I go to pray",🛐
"She visits the shrine",🛐
"He kneels down low",🛐
"They seek peace",🛐
"We respect faith",🛐
"I am a nerd",🤓
"She wears glasses",🤓
"He is very smart",🤓
"They study hard",🤓
"We like to read",🤓
"I crack an egg",🥚
"She boils breakfast",🥚
"He likes the white",🥚
"The shell is oval",🥚
"We find a nest",🥚
"I see a ninja",🥷
"She moves silently",🥷
"He wears a mask",🥷
"They fight with skill",🥷
"We hide in shadows",🥷
"I show the finger",🖕
"She is very rude",🖕
"He feels angry",🖕
"They are offensive",🖕
"We ignore the sign",🖕
"I wear a ring",💍
"She gets married",💍
"He proposes now",💍
"The diamond shines",💍
"We love the gem",💍
"I need paper roll",🧻
"She wipes it up",🧻
"He buys the pack",🧻
"The tissue is soft",🧻
"We clean the mess",🧻
"I see a diamond",🔶
"The shape is orange",🔶
"She likes the color",🔶
"He draws a shape",🔶
"We find the gem",🔶
"I plant a tree",🌳
"She sits in shade",🌳
"He climbs the branch",🌳
"The leaves are green",🌳
"We love the woods",🌳
"I see a man",👨
"He is an adult",👨
"She talks to him",👨
"They know the guy",👨
"We respect men",👨
"I see the wheel",☸️
"She follows dharma",☸️
"He spins the helm",☸️
"The symbol is old",☸️
"We seek the path",☸️
"I chop an onion",🧅
"She cries a tear",🧅
"He likes the taste",🧅
"The layers fall off",🧅
"We cook with it",🧅
"I eat hot noodles",🍜
"She slurps the soup",🍜
"He uses chopsticks",🍜
"The bowl is full",🍜
"We enjoy ramen",🍜
"I get takeout food",🥡
"She opens the box",🥡
"He eats leftovers",🥡
"The carton is white",🥡
"We order dinner",🥡
"I slice a cucumber",🥒
"She makes a salad",🥒
"He likes the crunch",🥒
"The pickle is sour",🥒
"We eat it fresh",🥒
"I eat chicken leg",🍗
"She fries the meat",🍗
"He likes the skin",🍗
"The meal is hot",🍗
"We gnaw the bone",🍗
"I launch a rocket",🚀
"She flies to space",🚀
"He sees the blast",🚀
"They explore stars",🚀
"We go to moon",🚀
"I see a llama",🦙
"The wool is soft",🦙
"She pets the animal",🦙
"He feeds it hay",🦙
"They spit sometimes",🦙
"I eat a dumpling",🥟
"She streams the bun",🥟
"He dips in sauce",🥟
"The food is warm",🥟
"We like dim sum",🥟
"I drink the milk",🥛
"She pours a glass",🥛
"He likes the dairy",🥛
"The drink is white",🥛
"We have cookies",🥛
"I save the disk",💽
"She plays the game",💽
"He stores the data",💽
"The media is old",💽
"We load the file",💽
"I enter the office",🏢
"She works inside",🏢
"He sees the tower",🏢
"The building is tall",🏢
"We go to work",🏢
"I see the mouth",👄
"She wears lipstick",👄
"He speaks aloud",👄
"The lips are red",👄
"We blow a kiss",👄
"I wear a tuxedo",🤵
"She likes the suit",🤵
"He is the groom",🤵
"They dress up nice",🤵
"We go to party",🤵
"I see the charm",🧿
"She wards off evil",🧿
"He hangs it up",🧿
"The eye is blue",🧿
"We trust the sign",🧿
"I turn the knob",🎛️
"She adjusts sound",🎛️
"He changes settings",🎛️
"The controls work",🎛️
"We fix the mix",🎛️
"I wear a monocle",🧐
"She looks closely",🧐
"He acts fancy",🧐
"They investigate",🧐
"We search for clues",🧐
"I see a dark hole",🕳️
"She falls inside",🕳️
"He jumps right in",🕳️
"The pit is deep",🕳️
"We look down there",🕳️
"I spend the dollar",💵
"She pays with cash",💵
"He earns money",💵
"The bill is green",💵
"We save our cash",💵
"I feel very dizzy",😵
"She spins around",😵
"He knocks out cold",😵
"The eyes show x",😵
"We faint away",😵
"I wear a hat",🤠
"She rides a horse",🤠
"He is a cowboy",🤠
"They live on ranch",🤠
"We say howdy",🤠
"I box in ring",🥊
"She wears the glove",🥊
"He throws a punch",🥊
"The sport is rough",🥊
"We fight the match",🥊
"I am a hero",🦸
"She saves the day",🦸
"He wears a cape",🦸
"They fly so fast",🦸
"We trust the power",🦸
"I whistle a tune",😗
"She makes a face",😗
"He looks innocent",😗
"The lips are round",😗
"We act casual",😗
"I use a pickaxe",⛏️
"She mines the rock",⛏️
"He digs for gold",⛏️
"The tool is sharp",⛏️
"We break the stone",⛏️
"I see the bamboo",🎋
"She makes a wish",🎋
"He hangs the paper",🎋
"The tree is green",🎋
"We celebrate stars",🎋
"I use a wrench",🔧
"She tightens bolts",🔧
"He fixes the sink",🔧
"The tool is steel",🔧
"We repair the car",🔧
"I feel so cold",🥶
"She freezes outside",🥶
"He has blue face",🥶
"They are shivering",🥶
"We need a coat",🥶
"I crack a coconut",🥥
"She drinks the milk",🥥
"He likes the shell",🥥
"The fruit is hairy",🥥
"We eat the meat",🥥
"I feel very angry",😡
"She is so mad",😡
"He has a rage",😡
"The face is red",😡
"We calm him down",😡
"I pick a tulip",🌷
"She likes the pink",🌷
"He plants a bulb",🌷
"The flower blooms",🌷
"We visit gardens",🌷
"I measure the angle",📐
"She uses the ruler",📐
"He draws a line",📐
"The math is exact",📐
"We check the side",📐
"I have no words",😑
"She looks annoyed",😑
"He keeps it straight",😑
"They are expressionless",😑
"We feel flat now",😑
"I see an elf",🧝
"She has point ears",🧝
"He uses magic",🧝
"They live in woods",🧝
"We read the myth",🧝
"I sail the ferry",⛴️
"She crosses the bay",⛴️
"He boards the boat",⛴️
"The ship is slow",⛴️
"We travel on sea",⛴️
"I stand right here",🧍
"She waits in line",🧍
"He is standing up",🧍
"They are upright",🧍
"We stay on feet",🧍
"I feel very sick",🤢
"She looks green",🤢
"He wants to puke",🤢
"They are nauseous",🤢
"We need a bucket",🤢
"I see the star",✡️
"She goes to temple",✡️
"He reads the text",✡️
"The symbol is blue",✡️
"We light the candle",✡️
"I ride the train",🚆
"She sits in car",🚆
"He checks the track",🚆
"The rail is fast",🚆
"We commute to work",🚆
"I smile at you",😊
"She feels happy",😊
"He is blushing",😊
"They are content",😊
"We feel warmth",😊
"I unlock the door",🔓
"She opens the lock",🔓
"He finds the key",🔓
"The latch is free",🔓
"We enter the room",🔓
"I see a t-rex",🦖
"The dino is green",🦖
"She fears the teeth",🦖
"He runs away fast",🦖
"They are extinct",🦖
"I eat avocado",🥑
"She makes some dip",🥑
"He likes the pit",🥑
"The fruit is green",🥑
"We have toast now",🥑
"I wish for magic",🧞
"She rubs the lamp",🧞
"He grants a wish",🧞
"The spirit is blue",🧞
"We ask for more",🧞
"I eat a mango",🥭
"The fruit is sweet",🥭
"She peels the skin",🥭
"He likes the juice",🥭
"We slice it up",🥭
"I see the moon",🌝
"The face is full",🌝
"She looks at night",🌝
"He smiles down here",🌝
"We watch the sky",🌝
"I eat a bagel",🥯
"She spreads the cheese",🥯
"He likes it toasted",🥯
"The bread is round",🥯
"We have breakfast",🥯
"I hold the mic",🎤
"She sings a song",🎤
"He gives a speech",🎤
"The sound is loud",🎤
"We perform live",🎤
"I drive a car",🚗
"She parks the auto",🚗
"He starts the engine",🚗
"The ride is red",🚗
"We go for spin",🚗
"I speak loudly",🗣️
"She shouts a word",🗣️
"He tells a story",🗣️
"The shadow talks",🗣️
"We hear the voice",🗣️
"I point right there",👉
"She shows the way",👉
"He directs us now",👉
"The finger points",👉
"We look that way",👉
"I take a selfie",🤳
"She holds the phone",🤳
"He snaps a pic",🤳
"The arm is out",🤳
"We pose for cam",🤳
"I see a zombie",🧟
"She walks so slow",🧟
"He looks scary",🧟
"They want some brains",🧟
"We run from dead",🧟
"I see a mermaid",🧜
"She swims in sea",🧜
"He has a tail",🧜
"The myth is real",🧜
"We dive underwater",🧜
"I am very mad",🤬
"She says bad words",🤬
"He covers his mouth",🤬
"The face is red",🤬
"We are furious",🤬
"I look cool now",😎
"She wears shades",😎
"He feels confident",😎
"They are stylish",😎
"We enjoy the sun",😎
"I watch a tape",📼
"She plays the film",📼
"He rewinds the reel",📼
"The video is old",📼
"We record the show",📼
"I see one eye",👁️
"She looks closer",👁️
"He watches us all",👁️
"The vision is clear",👁️
"We observe the scene",👁️
"I tighten the nut",🔩
"She uses a bolt",🔩
"He fixes the part",🔩
"The metal is strong",🔩
"We build the frame",🔩
"I roll my eyes",🙄
"She is annoyed",🙄
"He looks upward",🙄
"They are bored now",🙄
"We feel sarcasm",🙄
"I see the boom",💥
"She hears the bang",💥
"He watches the blast",💥
"The spark is bright",💥
"We feel the shock",💥
"I cross my fingers",🤞
"She hopes for luck",🤞
"He makes a wish",🤞
"They promise now",🤞
"We trust in fate",🤞
"I see sparkles",✨
"She cleans it well",✨
"He likes the shine",✨
"The stars are bright",✨
"We feel magic",✨
"I read the map",🗺️
"She finds the path",🗺️
"He travels far",🗺️
