input,output
🗺️ ⛵ 🦜 ⚔️,They used a map and swords on the ship
🧹 🧽 🧼 🏠,She cleaned the house with a broom and sponge
🧹 🧽 🧼 🏠,He washed the floor and tidied up
🧙 ✨ 🐸 💨,The wizard made the frog disappear
🧙 ✨ 🐸 💨,Magic smoke appeared around the toad
👩 🔬 🧪 🤯,The scientist tested the chemicals
👩 🔬 🧪 🤯,She was amazed by the experiment results
🧰 🔧 🔩 👨,The man fixed the tool with a wrench
🧰 🔧 🔩 👨,He used the toolbox to repair the bolt
🦋 🌼 ☀️ 🏞️,A butterfly flew over the flower in the park
🦋 🌼 ☀️ 🏞️,The nature view was sunny and beautiful
🏦 💸 🤑 💼,He took cash from the bank in his bag
🏦 💸 🤑 💼,The rich businessman carried the money
😴 🛌 💤 🌙,He fell asleep and dreamed of the moon
😴 🛌 💤 🌙,It was night so she went to bed
🌲 🌳 🦔 ⛰️,The hedgehog lived in the forest mountains
🌲 🌳 🦔 ⛰️,We saw a small animal in the woods
🤳 🏞️ 😄 👩,The woman took a selfie in nature
🤳 🏞️ 😄 👩,She smiled for a photo at the park
📺 📻 📄 🧐,We listened to the news on the radio
📺 📻 📄 🧐,He read the paper and watched tv closely
🥪 🧀 🥗 😋,She ate a cheese sandwich and salad
🥪 🧀 🥗 😋,The lunch was tasty and healthy
🌮 🥑 🌽 🤤,He wanted a taco with avocado and corn
🌮 🥑 🌽 🤤,The food looked delicious and spicy
🧁 🥛 😋 🥄,We ate a cupcake and drank milk
🧁 🥛 😋 🥄,She used a spoon to eat the sweet treat
🎓 📜 🏫 😄,The student graduated from the university
🎓 📜 🏫 😄,He was happy to get his diploma
👰 🤵 💍 🥂,The couple drank champagne at the wedding
👰 🤵 💍 🥂,They toasted to their marriage
🚒 🔥 🏠 😱,The fire truck came to the burning house
🚒 🔥 🏠 😱,People were scared of the large fire
👩 🌾 🌽 🥕,The farmer grew corn and carrots
👩 🌾 🌽 🥕,She harvested vegetables from the field
🤴 💍 ⚔️ 🗺️,The king fought for the land with a sword
🤴 💍 ⚔️ 🗺️,The royal leader planned the battle
🚀 🌙 ✨ 👨,The man looked at the stars and moon
🚀 🌙 ✨ 👨,The rocket flew into the sparkling sky
🏝️ 🥥 ☀️ 🌊,The tropical ocean has coconuts and sun
🏝️ 🥥 ☀️ 🌊,We sat on the beach by the water
🐀 🧀 🏠 😱,The rat ate the cheese in the house
🐀 🧀 🏠 😱,She was scared to find a mouse inside
🧘 🔇 🤫 🏡,She stayed quiet and did yoga at home
🧘 🔇 🤫 🏡,It was silent while he meditated
🦷 😷 🤕 😭,The dentist treated the hurting tooth
🦷 😷 🤕 😭,He cried because of the mouth pain
👩 👗 🧷 📐,The tailor measured the dress with a ruler
👩 👗 🧷 📐,She used a pin to fix the clothing size
🍈 🍐 🥣 🥄,We ate melon and pears from the bowl
🍈 🍐 🥣 🥄,He used a spoon to eat the fruit salad
🐺 🌙 🌲 😱,The wolf howled at the moon in the woods
🐺 🌙 🌲 😱,It was scary to see the animal at night
🏌️ 🧢 😎 ☀️,He played golf in the hot sun
🏌️ 🧢 😎 ☀️,The golfer wore a hat and sunglasses
🤱 👶 🥛 🏠,The mother nursed the baby at home
🤱 👶 🥛 🏠,She fed the child milk in the house
🧜 🌊 🐟 🏝️,The mermaid swam in the ocean near the island
🧜 🌊 🐟 🏝️,We saw a fish and a mythical creature in the water
🧐 👀 👞 💡,The detective looked for clues with a light
🧐 👀 👞 💡,He investigated the footprints and had an idea
🦸 🦹 🏙️ 💥,The hero fought the villain in the city
🦸 🦹 🏙️ 💥,A loud explosion happened during the super battle
🧛 🍷 🏠 🌙,The vampire drank red wine in his dark home
🧛 🍷 🏠 🌙,It was night when the monster came to the house
🧟 🧠 🌲 😱,The zombie wanted brains in the scary forest
🧟 🧠 🌲 😱,We were afraid of the monster in the woods
🎅 🎁 🌲 🌨️,Santa left gifts under the tree in the snow
🎅 🎁 🌲 🌨️,It was snowing when he delivered the presents
🏃 👞 🕰️ 😅,The runner checked his time and sweated
🏃 👞 🕰️ 😅,He ran fast in his shoes and looked at the clock
🎓 🏫 📕 🥳,We celebrated graduation at the school
🎓 🏫 📕 🥳,The student finished the book and had a party
👩 🌾 🌽 🚚,The farmer drove the truck with corn
👩 🌾 🌽 🚚,She transported the harvest from the field
🍳 🥩 🍞 🥛,He ate steak and toast for a big breakfast
🍳 🥩 🍞 🥛,"The meal included eggs, meat, bread, and milk"
🧺 🧼 👚 👗,She washed the clothes and dress with soap
🧺 🧼 👚 👗,Doing laundry cleaned the shirts and skirts
🧘 🧼 🔇 😊,He did yoga in a quiet clean room
🧘 🧼 🔇 😊,She felt happy meditating in silence
🛌 🤒 🤢 💊,He was sick in bed and took a pill
🛌 🤒 🤢 💊,She felt nauseous and rested with medicine
🚗 🛢️ 🗺️ 🛑,The car needed oil and we stopped at the sign
🚗 🛢️ 🗺️ 🛑,We checked the map and the engine fluids
🚣 🐟 ⛵ ☀️,They fished from the boat on a sunny day
🚣 🐟 ⛵ ☀️,The sun shone as we rowed to catch fish
🎨 🤚 🔴 🔵,The artist painted with red and blue colors
🎨 🤚 🔴 🔵,He used his hand to mix the bright paint
🎵 🎷 🥁 🎤,The band played jazz with a saxophone and drums
🎵 🎷 🥁 🎤,The singer performed while the music played
👩 👗 👠 💅,She dressed up with heels and nail polish
👩 👗 👠 💅,The woman looked nice in her gown and shoes
🤵 💍 🌹 😘,He proposed to her with a ring and a flower
🤵 💍 🌹 😘,She kissed him after he gave her the rose
🥪 🥔 🥤 🥯,We had a sandwich and soda for lunch
🥪 🥔 🥤 🥯,He ate a bagel and chips with a drink
🐶 🦴 🥎 🏞️,The dog played with a ball in the park
🐶 🦴 🥎 🏞️,He chewed the bone and chased the softball
🐱 🐀 🥛 💺,The cat chased the rat under the chair
🐱 🐀 🥛 💺,She drank milk and watched the mouse
🐦 🐛 🌳 ☁️,A bird ate a worm in the cloudy tree
🐦 🐛 🌳 ☁️,The sky was gray above the nature scene
🦅 🦎 🏜️ 🐜,The eagle hunted the lizard in the desert
🦅 🦎 🏜️ 🐜,We saw ants and wild animals in the sand
🦋 🌼 🌷 👃,She smelled the tulips and saw a butterfly
🦋 🌼 🌷 👃,The flowers smelled good in the garden
📼 🥨 🎞️ 😎,We watched a movie tape and ate pretzels
📼 🥨 🎞️ 😎,The film was cool and the snacks were salty
🔥 🧳 🌙 🍖,We camped with a fire and meat at night
🔥 🧳 🌙 🍖,He packed a bag for the evening barbecue
🚀 👨 👹 ⚪,The astronaut met a monster on the white planet
🚀 👨 👹 ⚪,The rocket landed and he saw a scary alien
🏠 🦕 ⚔️ 💪,The hero used strength to fight the dinosaur
🏠 🦕 ⚔️ 💪,They battled the lizard with swords near the house
🚢 🔗 🌊 🦈,The ship chain rusted in the shark waters
🚢 🔗 🌊 🦈,We sailed the ocean and saw a big fish
🚗 🤕 💊 🚒,The fire truck came to help the injured driver
🚗 🤕 💊 🚒,There was a crash and he needed medicine
🚒 🔥 🏢 😱,The office building was on fire and people screamed
🚒 🔥 🏢 😱,We were scared of the burning tower
🤠 💣 💵 🏦,The cowboy stopped the bank robbery with a bomb
🤠 💣 💵 🏦,He saved the money from the explosion
🚆 🚉 📄 🕰️,The train arrived at the station on time
🚆 🚉 📄 🕰️,He checked the schedule and the clock
✈️ 💺 ☁️ 🍷,We flew in the clouds and drank wine
✈️ 💺 ☁️ 🍷,The plane seat was comfortable for the trip
🛳️ 🥃 👚 😎,She relaxed on the cruise with a drink
🛳️ 🥃 👚 😎,The lady wore a shirt and sunglasses on the ship
🛐 🙏 📖 ✨,He prayed and read the holy book
🛐 🙏 📖 ✨,The place of worship was full of light
💵 📊 🤵 😟,The rich man worried about the market charts
💵 📊 🤵 😟,He looked sad because of the money stats
🗳️ 📂 🤚 ✅,She voted and put the file in the box
🗳️ 📂 🤚 ✅,It was good to participate in the election
💡 🧠 💭 🗒️,He wrote down his bright idea on the pad
💡 🧠 💭 🗒️,The thought was smart and he noted it
🔬 🧪 👨 🐀,The scientist tested the rat in the lab
🔬 🧪 👨 🐀,He did an experiment with chemicals
👀 🌃 ✨ 🌝,We looked at the moon and stars at night
👀 🌃 ✨ 🌝,The city sky was sparkling and beautiful
⚔️ 🚪 🤴 🐴,The king rode a horse to the castle door
⚔️ 🚪 🤴 🐴,The royal leader carried a sword
🔧 🔩 🔗 🦺,The worker fixed the chain with a wrench
🔧 🔩 🔗 🦺,He wore a safety vest to repair the bolt
🧹 💩 🧻 🤢,He cleaned the dirty mess with paper
🧹 💩 🧻 🤢,It smelled sick so he used a broom
🛌 🥒 🔇 🧘,She relaxed at the spa with cucumber eyes
🛌 🥒 🔇 🧘,It was silent while she meditated
💨 ❎ 🤮 👃,The smoke smell was banned and gross
💨 ❎ 🤮 👃,Do not release bad gas here
🍷 🧀 🥖 🎵,We ate cheese and bread with wine and music
🍷 🧀 🥖 🎵,The party had food and a baguette
🥣 🥄 🥛 🧇,He ate cereal and waffles for breakfast
🥣 🥄 🥛 🧇,She used a spoon to eat her morning meal
🥗 🥒 🥕 🥣,She made a salad with cucumber and carrots
🥗 🥒 🥕 🥣,He ate a bowl of fresh vegetables
🌮 🥑 🌽 🥙,We had tacos with avocado and corn
🌮 🥑 🌽 🥙,The Mexican food was delicious and spicy
🍎 🍐 🥝 🍈,"The fruit salad had apples, pears, and kiwi"
🍎 🍐 🥝 🍈,He ate a melon and other fruits
🧁 🥯 🥐 🥨,She bought a cupcake and bagel at the bakery
🧁 🥯 🥐 🥨,We ate pastries and pretzels for a snack
🍺 🥨 🥜 🥡,He drank beer and ate salty snacks
🍺 🥨 🥜 🥡,They had takeout food and drinks at the bar
🧳 ✈️ 🗺️ 🏙️,We traveled to the city with a map
🧳 ✈️ 🗺️ 🏙️,She packed her bag for the flight
🏝️ 🥥 🥝 ☀️,The tropical island was sunny and sweet
🏝️ 🥥 🥝 ☀️,We ate fruit on the sunny beach
🌨️ 🧣 🧤 🧥,Wear a scarf and gloves in the snow
🌨️ 🧣 🧤 🧥,It is cold so put on your winter coat
☀️ 🥵 🥤 🧢,It is hot so wear a cap and drink water
☀️ 🥵 🥤 🧢,The sun is strong so stay hydrated
🌧️ 🧥 👢 🏠,Put on boots and a coat for the rain
🌧️ 🧥 👢 🏠,He walked home in the wet weather
🛌 💤 😴 🌃,He slept well during the night
🛌 💤 😴 🌃,She dreamed in her bed while it was dark
🧼 🧴 🧽 🦷,Brush your teeth and wash with soap
🧼 🧴 🧽 🦷,He used a sponge and lotion to clean up
🧹 🧽 🧼 🧻,Clean the mess with a sponge and broom
🧹 🧽 🧼 🧻,She used paper and soap to tidy the room
🏫 📕 📘 🗒️,The student had a notebook and books
🏫 📕 📘 🗒️,He read the textbooks at school
💼 🏢 📠 📊,He worked in the office with data
💼 🏢 📠 📊,The business report was sent by fax
⚕️ 💊 🤒 😷,The doctor treated the sick patient
⚕️ 💊 🤒 😷,She took medicine and wore a mask
❤️ 💋 💍 🏩,They fell in love and got married
❤️ 💋 💍 🏩,The couple celebrated their wedding
👶 🥛 🤱 🧼,She fed the baby and washed him
👶 🥛 🤱 🧼,The mother nursed the child with milk
🐶 🦴 🥎 🌳,The dog played with a ball in the park
🐶 🦴 🥎 🌳,He gave the puppy a bone outside
🐱 🐟 🥛 🐀,The cat hunted the rat and ate fish
🐱 🐟 🥛 🐀,She gave milk to the kitten
🐮 🐷 🐏 🌾,"The farm has cows, pigs, and sheep"
🐮 🐷 🐏 🌾,We saw farm animals eating grain
🦁 🐻 🦒 🦓,We saw lions and bears at the zoo
🦁 🐻 🦒 🦓,The giraffe and zebra are wild animals
🦈 🐟 🌊 🧜,The mermaid swam with fish in the ocean
🦈 🐟 🌊 🧜,We saw a shark in the deep water
🐜 🐛 🕸️ 🦟,The spider web caught a fly and bug
🐜 🐛 🕸️ 🦟,Insects crawled on the nature trail
🧙 ✨ 🐸 🧹,The witch cast a spell on the frog
🧙 ✨ 🐸 🧹,Magic sparkles surrounded the toad
🚀 🌍 🌝 🌃,The rocket flew to the moon at night
🚀 🌍 🌝 🌃,We looked at the earth from space
🥅 🤺 🥋 🥊,He liked boxing and martial arts
🥅 🤺 🥋 🥊,The athletes competed in sports
🎨 👗 👠 👢,The designer made a dress and boots
🎨 👗 👠 👢,She painted a picture of shoes
🎞️ 📼 📺 🥨,We watched a movie and ate pretzels
🎞️ 📼 📺 🥨,He put the tape in the player
💵 💶 💷 🏧,He exchanged dollars and euros at the bank
💵 💶 💷 🏧,She withdrew money from the machine
👗 👠 👒 💼,She packed shoes and a hat in her bag
👗 👠 👒 💼,The woman wore a dress and heels
🔧 🔩 ⛏️ 🧰,The builder used a wrench and pickaxe
🔧 🔩 ⛏️ 🧰,He fixed the bolt with his tools
🏡 🌳 🌷 🌹,The garden has roses and tulips
🏡 🌳 🌷 🌹,They planted trees near the house
🌲 🦔 🦌 🥜,The deer and hedgehog live in the woods
🌲 🦔 🦌 🥜,Animals ate nuts in the forest
🏜️ 🦎 ☀️ 🥵,The lizard sat in the hot desert sun
🏜️ 🦎 ☀️ 🥵,It was sweltering in the sand
⛰️ 🧗 🐐 🦅,The eagle flew over the mountain goats
⛰️ 🧗 🐐 🦅,He climbed the high rocks
🤴 🏠 ⚔️ 💍,The king defended his home with a sword
🤴 🏠 ⚔️ 💍,The royal leader protected the ring
👻 🕸️ 🦇 🧛,The vampire turned into a bat
👻 🕸️ 🦇 🧛,We saw a ghost and spider web
🤡 🤹 🎲 🎤,The clown sang and played games
🤡 🤹 🎲 🎤,The performer juggled on stage
🥚 🐣 🦕 🦖,The dinosaur egg hatched
🥚 🐣 🦕 🦖,A baby dino came out of the shell
🎅 🦌 🎁 🌨️,Santa brought gifts in the snow
🎅 🦌 🎁 🌨️,The reindeer flew in the winter sky
🔥 🚒 🏙️ 😱,The fire truck arrived at the city fire
🔥 🚒 🏙️ 😱,People were scared of the burning building
🔧 🔗 💡 🧰,He fixed the light with a tool
🔧 🔗 💡 🧰,The chain was repaired with a wrench
📜 🧐 🦖 🦴,He found an old bone and scroll
📜 🧐 🦖 🦴,The scientist studied the fossil closely
💽 💿 📻 📠,The old radio and disk player still work
💽 💿 📻 📠,He used vintage technology
🤳 📶 📠 📺,He checked the signal on his device
🤳 📶 📠 📺,We watched tv and sent a fax
🕰️ 🗒️ 💤 🛌,He planned his sleep schedule
🕰️ 🗒️ 💤 🛌,She checked the time before bed
🔴 🔵 🔶 🔷,"The shapes are red, blue, and orange"
🔴 🔵 🔶 🔷,We sorted the colorful blocks
🦵 🦶 👞 🧦,Put socks and shoes on your feet
🦵 🦶 👞 🧦,He hurt his leg and foot
🌽 🥕 🥔 🌾,"The farm grew corn, carrots, and potatoes"
🌽 🥕 🥔 🌾,We harvested vegetables from the field
🍎 🍐 🍑 🍋,"He picked apples, pears, peaches, and lemons"
🍎 🍐 🍑 🍋,The fruit basket was full of fresh produce
🌮 🥑 🌽 🥗,We ate tacos with avocado and corn salad
🌮 🥑 🌽 🥗,The mexican meal was fresh and green
🥖 🧀 🍞 🥨,"The bakery sold bread, cheese, and pretzels"
🥖 🧀 🍞 🥨,He ate a baguette with a slice of swiss
🍗 🍖 🥩 🔥,We grilled chicken and steak on the fire
🍗 🍖 🥩 🔥,The meat cooked over the hot flame
🍚 🍜 🥢 🥟,He used chopsticks to eat rice and dumplings
🍚 🍜 🥢 🥟,The asian dinner included noodles
🍷 🍾 🥂 🧀,They drank wine and champagne with cheese
🍷 🍾 🥂 🧀,We toasted with drinks at the party
🥛 🥣 🥄 🧇,He ate waffles and cereal with milk
🥛 🥣 🥄 🧇,She used a spoon for her breakfast bowl
🧁 🥯 🥐 🥨,The bakery had cupcakes and bagels
🧁 🥯 🥐 🥨,He chose a croissant and pretzel
🐶 🦴 🏠 🌳,The dog took his bone to the doghouse
🐶 🦴 🏠 🌳,Puppy played outside with a treat
🐱 🐟 🐀 🥛,The cat chased the rat and drank milk
🐱 🐟 🐀 🥛,Kitty ate fish and rested
🦅 🦉 🦇 🕊️,Birds and bats flew in the sky
🦅 🦉 🦇 🕊️,We saw an eagle and an owl
🦁 🦓 🦒 🐗,Wild animals roam the safari
🦁 🦓 🦒 🐗,The lion watched the zebra and boar
🐸 🦎 🦕 🦖,The frog watched the dinosaurs
🐸 🦎 🦕 🦖,Ancient lizards and amphibians
🐟 🦈 🌊 🏊,The swimmer saw a shark in the water
🐟 🦈 🌊 🏊,He swam near the fish in the ocean
🦋 🐛 🐜 🕸️,Insects crawled near the spider web
🦋 🐛 🐜 🕸️,The butterfly flew over the ants
🥪 🧀 🥩 🍞,He made a meat and cheese sandwich
🥪 🧀 🥩 🍞,The lunch was bread with steak
🥎 🥅 🥊 🥋,They played sports and martial arts
🥎 🥅 🥊 🥋,He practiced boxing and softball
🎨 🎲 🎰 🤹,The artist juggled and played games
🎨 🎲 🎰 🤹,We saw painting and gambling
🎷 🥁 🎵 🎤,The band played music and sang
🎷 🥁 🎵 🎤,He played drums and saxophone
🚗 🚚 🚒 🛑,The trucks stopped at the sign
🚗 🚚 🚒 🛑,Cars and fire engines waited
✈️ 🚀 💺 ☁️,The plane and rocket flew in clouds
✈️ 🚀 💺 ☁️,He sat in the seat high up
🛳️ ⛴️ ⛵ 🌊,Boats sailed on the ocean waves
🛳️ ⛴️ ⛵ 🌊,The ferry and ship crossed the sea
👞 👠 👢 🧦,He put on socks and shoes
👞 👠 👢 🧦,She wore heels and boots
👗 👚 👒 🧥,"She wore a dress, coat, and hat"
👗 👚 👒 🧥,The outfit included a blouse
💊 🧪 🧬 🔬,Scientists studied dna and medicine
💊 🧪 🧬 🔬,The lab test used a microscope
🔧 🔩 🧰 🔗,He fixed the chain with tools
🔧 🔩 🧰 🔗,The wrench and bolt were in the box
🧻 🧼 🧽 🧹,Clean the bathroom with soap and sponge
🧻 🧼 🧽 🧹,Use paper and a broom to tidy
🕰️ 🗒️ 📃 📊,He checked the time and the report
🕰️ 🗒️ 📃 📊,The schedule was on the paper
📺 📻 📼 💿,We watched tv and listened to radio
📺 📻 📼 💿,Old media includes tapes and discs
💵 💶 💷 💴,He exchanged different currencies
💵 💶 💷 💴,"We have dollars, euros, and pounds"
🚣 🤽 🏊 🐟,They played water polo and rowed
🚣 🤽 🏊 🐟,He swam with the fish
🏫 🎓 📖 📕,The student read books at school
🏫 🎓 📖 📕,He graduated after studying
🏠 🚪 🔑 🔓,Unlock the door to the house
🏠 🚪 🔑 🔓,He used the key to enter home
🌲 🌳 🌴 🥥,Trees and coconuts grow here
🌲 🌳 🌴 🥥,The forest has pine and palm trees
☀️ ☁️ 🌧️ 🌨️,The weather changed from sun to snow
☀️ ☁️ 🌧️ 🌨️,Clouds brought rain and cold
🍎 🐛 🐦 🌳,The worm in the apple was eaten by a bird
🍎 🐛 🐦 🌳,Nature cycle in the tree
🍈 🍋 🍐 🍑,"Fresh melon, lemon, pear, and peach"
🍈 🍋 🍐 🍑,He ate a salad of mixed fruits
🍳 🥚 🍞 🧂,He cooked eggs with toast and salt
🍳 🥚 🍞 🧂,Breakfast was salty and warm
🏋️ 💪 🤸 🧘,The athlete exercised and meditated
🏋️ 💪 🤸 🧘,He built muscle at the gym
🤺 ⚔️ 🐴 🤠,The cowboy rode a horse to the fight
🤺 ⚔️ 🐴 🤠,Fencing with swords on a mount
🤳 🏞️ 😎 🧢,He took a selfie in the park with a hat
🤳 🏞️ 😎 🧢,Cool photo in nature
🤧 🤕 🤒 💊,He was sick and took medicine
🤧 🤕 🤒 💊,The patient had a cold and injury
🧛 🦇 🌙 👻,Vampires and ghosts come out at night
🧛 🦇 🌙 👻,A bat flew past the moon
🦴 🦷 👂 🦵,The skeleton has teeth and legs
🦴 🦷 👂 🦵,He hurt his ear and bone
👶 🤰 🤱 👪,The family has a new baby
👶 🤰 🤱 👪,Mother nursing her child
🍷 🥃 🍾 🥂,We drank wine and whiskey
🍷 🥃 🍾 🥂,Champagne toast at the bar
🏠 🔑 🚪 🧹,Clean the house and lock the door
🏠 🔑 🚪 🧹,She swept the entry way
🗑️ 🧹 🧻 💩,Clean up the trash and mess
🗑️ 🧹 🧻 💩,He swept the paper and waste
🕯️ 💡 ☀️ 🔥,The candle and fire give light like the sun
🕯️ 💡 ☀️ 🔥,Different sources of light shine bright
🥣 🥄 🥛 🧇,He ate cereal and waffles for breakfast
🥣 🥄 🥛 🧇,She used a spoon to eat her morning meal
🌽 🥕 🥔 🌾,"The farm grew corn, carrots, and potatoes"
🌽 🥕 🥔 🌾,We harvested vegetables from the field
🍎 🍐 🍑 🍋,"He picked apples, pears, peaches, and lemons"
🍎 🍐 🍑 🍋,The fruit basket was full of fresh produce
🌮 🥑 🌽 🥗,We ate tacos with avocado and corn salad
🌮 🥑 🌽 🥗,The mexican meal was fresh and green
🥖 🧀 🍞 🥨,"The bakery sold bread, cheese, and pretzels"
🥖 🧀 🍞 🥨,He ate a baguette with a slice of swiss
🍗 🍖 🥩 🔥,We grilled chicken and steak on the fire
🍗 🍖 🥩 🔥,The meat cooked over the hot flame
🍚 🍜 🥢 🥟,He used chopsticks to eat rice and dumplings
🍚 🍜 🥢 🥟,The asian dinner included noodles
🍷 🍾 🥂 🧀,They drank wine and champagne with cheese
🍷 🍾 🥂 🧀,We toasted with drinks at the party
🧁 🥯 🥐 🥨,The bakery had cupcakes and bagels
🧁 🥯 🥐 🥨,He chose a croissant and pretzel
🐶 🦴 🏠 🌳,The dog took his bone to the doghouse
🐶 🦴 🏠 🌳,Puppy played outside with a treat
🐱 🐟 🐀 🥛,The cat chased the rat and drank milk
🐱 🐟 🐀 🥛,Kitty ate fish and rested
🦅 🦉 🦇 🕊️,Birds and bats flew in the sky
🦅 🦉 🦇 🕊️,We saw an eagle and an owl
🦁 🦓 🦒 🐗,Wild animals roam the safari
🦁 🦓 🦒 🐗,The lion watched the zebra and boar
🐸 🦎 🦕 🦖,The frog watched the dinosaurs
🐸 🦎 🦕 🦖,Ancient lizards and amphibians
🐟 🦈 🌊 🏊,The swimmer saw a shark in the water
🐟 🦈 🌊 🏊,He swam near the fish in the ocean
🦋 🐛 🐜 🕸️,Insects crawled near the spider web
🦋 🐛 🐜 🕸️,The butterfly flew over the ants
🥪 🧀 🥩 🍞,He made a meat and cheese sandwich
🥪 🧀 🥩 🍞,The lunch was bread with steak
🥎 🥅 🥊 🥋,They played sports and martial arts
🥎 🥅 🥊 🥋,He practiced boxing and softball
🎨 🎲 🎰 🤹,The artist juggled and played games
🎨 🎲 🎰 🤹,We saw painting and gambling
🎷 🥁 🎵 🎤,The band played music and sang
🎷 🥁 🎵 🎤,He played drums and saxophone
🚗 🚚 🚒 🛑,The trucks stopped at the sign
🚗 🚚 🚒 🛑,Cars and fire engines waited
✈️ 🚀 💺 ☁️,The plane and rocket flew in clouds
✈️ 🚀 💺 ☁️,He sat in the seat high up
🛳️ ⛴️ ⛵ 🌊,Boats sailed on the ocean waves
🛳️ ⛴️ ⛵ 🌊,The ferry and ship crossed the sea
👞 👠 👢 🧦,He put on socks and shoes
👞 👠 👢 🧦,She wore heels and boots
👗 👚 👒 🧥,"She wore a dress, coat, and hat"
👗 👚 👒 🧥,The outfit included a blouse
💊 🧪 🧬 🔬,Scientists studied dna and medicine
💊 🧪 🧬 🔬,The lab test used a microscope
🔧 🔩 🧰 🔗,He fixed the chain with tools
🔧 🔩 🧰 🔗,The wrench and bolt were in the box
🧻 🧼 🧽 🧹,Clean the bathroom with soap and sponge
🧻 🧼 🧽 🧹,Use paper and a broom to tidy
🕰️ 🗒️ 📃 📊,He checked the time and the report
🕰️ 🗒️ 📃 📊,The schedule was on the paper
📺 📻 📼 💿,We watched tv and listened to radio
📺 📻 📼 💿,Old media includes tapes and discs
💵 💶 💷 💴,He exchanged different currencies
💵 💶 💷 💴,"We have dollars, euros, and pounds"
🚣 🤽 🏊 🐟,They played water polo and rowed
🚣 🤽 🏊 🐟,He swam with the fish
🏫 🎓 📖 📕,The student read books at school
🏫 🎓 📖 📕,He graduated after studying
🏠 🚪 🔑 🔓,Unlock the door to the house
🏠 🚪 🔑 🔓,He used the key to enter home
🌲 🌳 🌴 🥥,Trees and coconuts grow here
🌲 🌳 🌴 🥥,The forest has pine and palm trees
☀️ ☁️ 🌧️ 🌨️,The weather changed from sun to snow
☀️ ☁️ 🌧️ 🌨️,Clouds brought rain and cold
🍎 🐛 🐦 🌳,The worm in the apple was eaten by a bird
🍎 🐛 🐦 🌳,Nature cycle in the tree
🍈 🍋 🍐 🍑,"Fresh melon, lemon, pear, and peach"
🍈 🍋 🍐 🍑,He ate a salad of mixed fruits
🍳 🥚 🍞 🧂,He cooked eggs with toast and salt
🍳 🥚 🍞 🧂,Breakfast was salty and warm
🏋️ 💪 🤸 🧘,The athlete exercised and meditated
🏋️ 💪 🤸 🧘,He built muscle at the gym
🤺 ⚔️ 🐴 🤠,The cowboy rode a horse to the fight
🤺 ⚔️ 🐴 🤠,Fencing with swords on a mount
🤳 🏞️ 😎 🧢,He took a selfie in the park with a hat
